word,count
energy,418
atom,321
particle,255
nuclear,252
atomic,246
say,238
neutron,226
electron,220
proton,220
radiation,212
nucleus,198
number,195
make,187
mass,164
uranium,164
charge,149
hydrogen,148
new,145
gene,144
cell,143
ray,138
first,135
work,129
illustration,129
element,126
form,121
produce,116
however,111
red,107
mutation,107
two,103
change,99
seem,99
call,98
year,96
physicist,95
reaction,93
much,92
great,91
weight,90
find,88
small,87
alpha,86
chromosome,84
go,83
isotope,83
light,82
high,81
chemical,81
theory,81
