author,file_clean,size_chars,size_words,words_estimate,language,balanced
shakespeare,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\shakespeare.txt,5359342,963460,893223,en,no
dostoevsky_notes_fu,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\dostoevsky_notes_fu.txt,244174,44132,40695,en,no
dostoevsky_poor_folk,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\dostoevsky_poor_folk.txt,296697,54153,49449,en,no
kafka_trial,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\kafka_trial.txt,456443,83728,76073,en,no
asimov_youth,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_youth.txt,58945,10081,9824,en,no
asimov_magnificent_possession,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_magnificent_possession.txt,36986,6129,6164,en,no
asimov_lets_get_together,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_lets_get_together.txt,35240,5806,5873,en,no
asimov_worlds_within_worlds_v1,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_within_worlds_v1.txt,77995,12315,12999,en,no
asimov_worlds_within_worlds_v2,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_within_worlds_v2.txt,72671,11244,12111,en,no
asimov_worlds_within_worlds_v3,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_within_worlds_v3.txt,93520,14214,15586,en,no
asimov_worlds_genetic_eff_rad,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_genetic_eff_rad.txt,94370,14650,15728,en,no
asimov_worlds_everest,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_everest.txt,7736,1333,1289,en,no
asimov_worlds_silly_asses,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov_worlds_silly_asses.txt,2818,431,469,en,no
asimov,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\asimov.txt,480297,76203,80049,en,no
dostoevsky,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\dostoevsky.txt,540873,98285,90145,en,no
kafka,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\kafka.txt,456443,83728,76073,en,no
shakespeare_balanced,E:\projects\My_project\03_Word2Vec\word2vec_literature_gpu\data_clean\shakespeare_balanced.txt,499657,90223,83276,en,yes
