author,word,count
asimov,energy,418
asimov,atom,321
asimov,particle,255
asimov,nuclear,252
asimov,atomic,246
asimov,say,238
asimov,neutron,226
asimov,electron,220
asimov,proton,220
asimov,radiation,212
asimov,nucleus,198
asimov,number,195
asimov,make,187
asimov,mass,164
asimov,uranium,164
asimov,charge,149
asimov,hydrogen,148
asimov,new,145
asimov,gene,144
asimov,cell,143
asimov,ray,138
asimov,first,135
asimov,work,129
asimov,illustration,129
asimov,element,126
asimov,form,121
asimov,produce,116
asimov,however,111
asimov,red,107
asimov,mutation,107
asimov,two,103
asimov,change,99
asimov,seem,99
asimov,call,98
asimov,year,96
asimov,physicist,95
asimov,reaction,93
asimov,much,92
asimov,great,91
asimov,weight,90
asimov,find,88
asimov,small,87
asimov,alpha,86
asimov,chromosome,84
asimov,go,83
asimov,isotope,83
asimov,light,82
asimov,high,81
asimov,chemical,81
asimov,theory,81
dostoevsky,never,179
dostoevsky,go,176
dostoevsky,good,171
dostoevsky,yet,168
dostoevsky,say,166
dostoevsky,upon,160
dostoevsky,love,158
dostoevsky,day,154
dostoevsky,nothing,151
dostoevsky,we,148
dostoevsky,write,146
dostoevsky,begin,145
dostoevsky,make,144
dostoevsky,think,144
dostoevsky,little,144
dostoevsky,feel,143
dostoevsky,old,141
dostoevsky,heart,139
dostoevsky,life,132
dostoevsky,yes,131
dostoevsky,know,128
dostoevsky,look,126
dostoevsky,live,123
dostoevsky,come,122
dostoevsky,long,121
dostoevsky,something,116
dostoevsky,seem,114
dostoevsky,fact,112
dostoevsky,room,112
dostoevsky,book,112
dostoevsky,course,110
dostoevsky,much,108
dostoevsky,hand,108
dostoevsky,work,107
dostoevsky,without,106
dostoevsky,god,105
dostoevsky,always,104
dostoevsky,barbara,104
dostoevsky,everything,102
dostoevsky,another,102
dostoevsky,away,100
dostoevsky,last,99
dostoevsky,perhaps,99
dostoevsky,let,98
dostoevsky,first,98
dostoevsky,thing,96
dostoevsky,makar,96
dostoevsky,turn,95
dostoevsky,friend,93
dostoevsky,see,92
kafka,Josef_K,1176
kafka,say,839
kafka,lawyer,260
kafka,ask,227
kafka,hand,223
kafka,look,215
kafka,door,207
kafka,go,207
kafka,room,202
kafka,seem,186
kafka,make,181
kafka,court,169
kafka,long,155
kafka,take,153
kafka,back,153
kafka,much,153
kafka,want,142
kafka,stand,141
kafka,painter,141
kafka,think,135
kafka,sit,131
kafka,quite,130
kafka,judge,130
kafka,see,128
kafka,work,122
kafka,first,118
kafka,good,116
kafka,trial,112
kafka,nothing,112
kafka,little,112
kafka,open,112
kafka,miss,110
kafka,need,110
kafka,speak,107
kafka,turn,107
kafka,something,106
kafka,office,106
kafka,really,104
kafka,without,103
kafka,everything,100
kafka,wait,99
kafka,already,99
kafka,two,96
kafka,case,96
kafka,leni,96
kafka,away,95
kafka,get,95
kafka,right,95
kafka,hold,93
kafka,far,92
shakespeare_balanced,lord,554
shakespeare_balanced,thou,531
shakespeare_balanced,king,510
shakespeare_balanced,hamlet,467
shakespeare_balanced,falstaff,408
shakespeare_balanced,good,386
shakespeare_balanced,prince,358
shakespeare_balanced,sir,314
shakespeare_balanced,thy,296
shakespeare_balanced,let,258
shakespeare_balanced,thee,247
shakespeare_balanced,enter,217
shakespeare_balanced,hath,198
shakespeare_balanced,upon,197
shakespeare_balanced,we,196
shakespeare_balanced,speak,168
shakespeare_balanced,god,164
shakespeare_balanced,hear,162
shakespeare_balanced,bardolph,160
shakespeare_balanced,father,154
shakespeare_balanced,love,145
shakespeare_balanced,horatio,137
shakespeare_balanced,john,136
shakespeare_balanced,shallow,135
shakespeare_balanced,scene,134
shakespeare_balanced,yet,134
shakespeare_balanced,come,133
shakespeare_balanced,hotspur,129
shakespeare_balanced,tis,128
shakespeare_balanced,queen,124
shakespeare_balanced,doth,122
shakespeare_balanced,polonius,119
shakespeare_balanced,first,112
shakespeare_balanced,day,109
shakespeare_balanced,never,108
shakespeare_balanced,hostess,108
shakespeare_balanced,laerte,107
shakespeare_balanced,much,107
shakespeare_balanced,art,106
shakespeare_balanced,make,105
shakespeare_balanced,call,104
shakespeare_balanced,head,103
shakespeare_balanced,poin,99
shakespeare_balanced,exeunt,98
shakespeare_balanced,man,97
shakespeare_balanced,life,96
shakespeare_balanced,say,96
shakespeare_balanced,hand,95
shakespeare_balanced,exit,95
shakespeare_balanced,th,95
