author,word,count
dostoevsky,love,96
dostoevsky,make,91
dostoevsky,go,91
dostoevsky,begin,90
dostoevsky,nothing,76
dostoevsky,course,73
dostoevsky,think,73
dostoevsky,know,72
dostoevsky,life,70
dostoevsky,perhaps,70
dostoevsky,feel,69
dostoevsky,simply,69
dostoevsky,never,68
dostoevsky,something,68
dostoevsky,look,68
dostoevsky,day,66
dostoevsky,good,62
dostoevsky,gentleman,61
dostoevsky,let,60
dostoevsky,we,60
dostoevsky,away,59
dostoevsky,without,58
dostoevsky,face,57
dostoevsky,say,56
dostoevsky,zverkov,56
dostoevsky,upon,55
dostoevsky,come,55
dostoevsky,minute,53
dostoevsky,turn,53
dostoevsky,last,52
dostoevsky,understand,51
dostoevsky,seem,51
dostoevsky,always,50
dostoevsky,everything,50
dostoevsky,year,49
dostoevsky,first,48
dostoevsky,live,47
dostoevsky,long,47
dostoevsky,happen,47
dostoevsky,fact,47
dostoevsky,reason,47
dostoevsky,another,47
dostoevsky,answer,46
dostoevsky,suddenly,46
dostoevsky,eye,45
dostoevsky,put,45
dostoevsky,simonov,44
dostoevsky,word,43
dostoevsky,really,43
dostoevsky,well,42
kafka,Josef_K,1176
kafka,say,839
kafka,lawyer,260
kafka,ask,227
kafka,hand,223
kafka,look,215
kafka,door,207
kafka,go,207
kafka,room,202
kafka,seem,186
kafka,make,181
kafka,court,169
kafka,long,155
kafka,take,153
kafka,back,153
kafka,much,153
kafka,want,142
kafka,stand,141
kafka,painter,141
kafka,think,135
kafka,sit,131
kafka,quite,130
kafka,judge,130
kafka,see,128
kafka,work,122
kafka,first,118
kafka,good,116
kafka,trial,112
kafka,nothing,112
kafka,little,112
kafka,open,112
kafka,miss,110
kafka,need,110
kafka,speak,107
kafka,turn,107
kafka,something,106
kafka,office,106
kafka,really,104
kafka,without,103
kafka,everything,100
kafka,wait,99
kafka,already,99
kafka,two,96
kafka,case,96
kafka,leni,96
kafka,away,95
kafka,get,95
kafka,right,95
kafka,hold,93
kafka,far,92
asimov,red,424
asimov,say,416
asimov,slim,284
asimov,lynn,268
asimov,sill,228
asimov,taylor,220
asimov,breckenridge,176
asimov,right,176
asimov,astronomer,172
asimov,industrialist,168
asimov,world,164
asimov,two,152
asimov,animal,152
asimov,robotic,132
asimov,back,132
asimov,ammonium,128
asimov,let,124
asimov,humanoid,124
asimov,eye,120
asimov,ship,120
asimov,sir,112
asimov,anything,108
asimov,mean,108
asimov,hear,108
asimov,small,104
asimov,something,104
asimov,good,100
asimov,point,100
asimov,planet,100
asimov,get,98
asimov,away,96
asimov,we,94
asimov,sure,92
asimov,first,92
asimov,call,92
asimov,laszlo,92
asimov,think,90
asimov,look,90
asimov,keep,88
asimov,side,88
asimov,yes,88
asimov,explorer,88
asimov,almost,84
asimov,much,84
asimov,great,84
asimov,break,84
asimov,speak,84
asimov,long,84
asimov,head,84
asimov,work,84
shakespeare_balanced,lord,554
shakespeare_balanced,thou,531
shakespeare_balanced,king,510
shakespeare_balanced,hamlet,467
shakespeare_balanced,falstaff,408
shakespeare_balanced,good,386
shakespeare_balanced,prince,358
shakespeare_balanced,sir,314
shakespeare_balanced,thy,296
shakespeare_balanced,let,258
shakespeare_balanced,thee,247
shakespeare_balanced,enter,217
shakespeare_balanced,hath,198
shakespeare_balanced,upon,197
shakespeare_balanced,we,196
shakespeare_balanced,speak,168
shakespeare_balanced,god,164
shakespeare_balanced,hear,162
shakespeare_balanced,bardolph,160
shakespeare_balanced,father,154
shakespeare_balanced,love,145
shakespeare_balanced,horatio,137
shakespeare_balanced,john,136
shakespeare_balanced,shallow,135
shakespeare_balanced,scene,134
shakespeare_balanced,yet,134
shakespeare_balanced,come,133
shakespeare_balanced,hotspur,129
shakespeare_balanced,tis,128
shakespeare_balanced,queen,124
shakespeare_balanced,doth,122
shakespeare_balanced,polonius,119
shakespeare_balanced,first,112
shakespeare_balanced,day,109
shakespeare_balanced,never,108
shakespeare_balanced,hostess,108
shakespeare_balanced,laerte,107
shakespeare_balanced,much,107
shakespeare_balanced,art,106
shakespeare_balanced,make,105
shakespeare_balanced,call,104
shakespeare_balanced,head,103
shakespeare_balanced,poin,99
shakespeare_balanced,exeunt,98
shakespeare_balanced,man,97
shakespeare_balanced,life,96
shakespeare_balanced,say,96
shakespeare_balanced,hand,95
shakespeare_balanced,exit,95
shakespeare_balanced,th,95
