doc_id,extension,type,acoustic_impedance_gt,acquisition_gt,allocated_rock_gt,age_gt,amplitude_gt,area_gt,attribute_gt,basin_gt,biostrat_gt,bottom_age_gt,complex_trace_gt,contacts_gt,convention_gt,country_gt,dataset_gt,date_gt,density_gt,depocentre_gt,depth_gt,DHI_gt,discontinuity_gt,domain_gt,dynamic_level_gt,elastic_attributes_gt,environment_gt,erosion_gt,facies_gt,fault_gt,feature_gt,field_gt,filter_gt,formation_gt,frequency_gt,gas_volume_gt,geomorph_gt,grain_size_gt,hilbert_gt,horizon_gt,instantaneous_gt,interference_gt,interpretation_gt,isochron_gt,isopach_gt,lab_measurement_gt,lithofacies_gt,lithology_gt,liquid_volume_gt,log_description_gt,log_type_gt,log_code_gt,measurement_gt,mineral_gt,ml_gt,model_gt,msl_depth_gt,oil_type_gt,oil_volume_gt,operation_gt,operator_gt,phase_gt,play_gt,polarity_gt,pore_types_gt,porosity_gt,prediction_gt,processing_gt,producing_zone_gt,production_gt,progradation_gt,qc_gt,region_gt,res_no_gt,reservoir_number_gt,reservoir_pressure_gt,reservoirs_gt,resistivity_gt,rock_property_gt,rock_type_gt,salinity_gt,sampling_gt,sample_numeric_gt,saturation_gt,sea_level_gt,sediment_gt,sediment_type_gt,seismic_attributes_gt,seismic_model_gt,signal_gt,source_area_gt,source_depth_gt,source_rock_gt,stratigraphy_gt,structure_gt,sulfur_gt,survey_gt,technology_gt,tectonic_gt,thickness_gt,tie_gt,top_age_gt,trend_gt,TWT_ms_gt,uncertainty_gt,uplift_gt,vclay_gt,velocity_gt,water_depth_gt,water_volume_gt,water_saturation_gt,watercut_gt,wavelet_gt,well_id_gt,well_type_gt,working_hours_gt,year_gt
2020_06_practical_4d_interpretation,.pdf,pdf_scans,,,,,,,,,,,,GOC;OWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazilian_carbonate_reservoir;thin_reservoir,,,carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A decade of marine seismic technology development,.docx,doc_Word,,,,,,,,,,,,,,,,,,,700-800m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~1700m,,,,,,,,,,,,,,,,,,,,carbonate;deepest;karstefied_carbonates;shallowest,,,carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~350m,,,,,,,,
Alaska_North_Slope_petroleum_systems,.pdf,pdf_scans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canning;GRZ-lower_Torok;Hue_Shale;Kingak-Blankenship;Kuna-Lisburne;Shublik-Otuk,,,,,,,,,,,,,HI_>300;Ro_0.6-1.0;TOC_2wt%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandstone;shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,.pdf,pdf_text,sandstone_low_AI;shale_high_AI,,,,,186_km2;700_acres,,,,,,,,,,,,,4500ft,,,,,,,,,,,,,Abu_Ballas;Dakhla;Duwi;Komombo;Maghrabi;Quseir;Sabaya;Six_Hills;Six_Hills_E;Taref,,,,,,,,,,,,,sand;shale;siltstone,,,,,,,,,,,,,,,,,,,Abu_Ballas_17.5%;Six_Hills_E_18%,,,,,,,,,,,Abu_Ballas_reservoir;Al_Baraka_oilfield;Six_Hills_E_reservoir;producing_sandstone_reservoir;stacked_sand_reservoir,,,basement;sandstone;shale;siltstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abu_Ballas_56%;Six_Hills_E_52%,,,,,,
Assessment of Tight-Oil and Tight-Gas Resources,.pdf,pdf_text,,,,,,,,,,,,,,,,,,,Badaowan_4-7km,,,,,,,,,,,,,Badaowan;Lucaogou;Malang;Mesaverde;Tiaohu,,,,,,,,,,,,,deep_lacustrine;fluvial;kerogen_Type_I;kerogen_Type_III;lacustrine;shallow_lacustrine,,,,,,,,,,,,,,,,,,,Badaowan_TOC_60%;Badaowan_shale_TOC_1.7%;Lucaogou_TOC_6.4-18%,,,,,,,,,,,coalbed_gas;shale_gas;tight_gas;tight_oil;tight_sandstone;tuffaceous_reservoir,,,carbonate;carbonaceous_shale;coal;dolomite;mudstone;sandstone;tuffaceous_dolomite,,,,,,Cenozoic;Mesozoic,,,,,,,,,,,,,,Badaowan_0-800m;Lucaogou_0-350m,,,,,,,,,,,,,,,,,
Characterization of Three Forks Formation Reservoir Lithofacies,.pdf,pdf_text,,,,,,,,Williston_Basin,,,,,,USA,,,BrecMud_2.65-2.49;LamMud_2.65-2.48;MasDol_2.82-2.75;MasMud_2.67-2.42;MotDol_2.75-2.59;MotMud_2.67-2.45;MudCong_2.68-2.49,,,,,,,,,,,,,Antelope_Field,,Bakken;Bird_Bear;Middle_Three_Forks;Three_Forks,,,,clay_size;fine_sand_0.07mm;silt_0.04mm,,,,,,,,,clay;dolomite;feldspar;quartz,,,,,,,,,,,,,,,,Bakken_Three_Forks,,fracture;intercrystalline;interparticle;microporosity;vuggy,BrecMud_5.91-6.31%;LamMud_6.21-6.44%;MasDol_2.32-2.89%;MasMud_9.63-10.26%;MotDol_5.62-5.81%;MotMud_8.26-8.73%;MudCong_7.08-7.70%,,,,,,,North_Dakota,,,,Bakken_Three_Forks_system;Three_Forks_reservoir;tight_reservoir;unconventional_reservoir,,,anhydrite;brecciated_mudstone;carbonate;clastic;claystone;conglomerate;dolomite;dolomitic_mudstone;mudstone;siltstone;silty_dolostone,,,,,,,,,,,,,,,,,,,,clasts_0.5-2cm;clasts_<1-3.5cm;laminated_2-5ft;massive_dolostone_1-3ft;massive_mudstone_0.5-3.5ft;mottled_dolostone_1-4ft;mottled_mudstone_<1-5ft,,,,,,,,,,,,,,,vertical,,1953
Convolution_Polarity,.jpg,images,,,,,reflection_coefficient,,,,,,,,polarity_convention,,,,,,,,,time_domain,,,,,,,,,noise_filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero_phase,,european_normal;seg_normal;zero_phase,,,,RC;convolution;noise,,,,,,,,,,,,,,time_sampling,,,,,,,convolution_model,reflection_series;seismic_trace;wavelet,,,,,,,,,,,,,,,,,,,,,,,european_wavelet,,,,
Example-of-a-near-seafloor-structure,.jpg,images,,,,,positive_amplitude_anomaly,,,,,,,,,,,,,,,,,time_domain,,,,,chaotic_seismic_facies,,mud_volcano;raised_seabed;salt_minibasin,,,,,,seabed_uplift,,,,,,,,,,chaotic_facies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaotic_cone_structure;seismic_chimney,seabed_amplitude_anomaly,,,,,cone_like_structure,,,,,,,,,-500; -1000;-3000,,,,,,,,,,,,,
Geophysics,.txt,txt,,crosswell_acquisition;downhole_acquisition;surface_acquisition,,,,,,,,,,,,,,,,,,,,time_domain,,,,,,,interwell_imaging;reservoir_geophysics,,,,,,,,,,,,reservoir_characterization;seismic_interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D_seismic;3D_seismic;CSP;VSP,potential_field_EM;potential_field_gravity;seismic_reflection,,,,,,,,high_resolution_imaging;migration;seismic_data_acquisition,,,,,,,,,,,,,,,,,,,
Integration of Deterministic Seismic inversion with Machine Learning,.docx,doc_Word,,prestack_gathers;stacked_data,,,,,,Browse_Basin,,,,,,Australia,,,,,,,,time_domain,,P_impedance;S_impedance;bulk_modulus;density;lambda_rho;mu_rho;Poisson_ratio;shear_modulus,fluvial_deltaic,,non_reservoir_facies;reservoir_facies,,,Poseidon_Field,,Plover_Formation,,,,,,,,,reservoir_characterization;seismic_interpretation,,,,,coal;sandstone;shale;siltstone,,,,,,,ANN;FNN;machine_learning_workflow,,,,,,,,,,,,,,,,,,Northwestern_Offshore_Australia,,,,,,,,,,,,,,,SPR_scaled_Poisson_reflectivity;amplitude_components;gradient_attributes,model_based_inversion;poststack_inversion;prestack_inversion;recursive_inversion;trace_based_inversion,seismic_reflection,,,,Carboniferous_to_Cenozoic,,,,ANN_prediction;deterministic_inversion;elastic_integration,syn_rift_setting,11km_strata,,,,,,,,,,,,,,,,,
