filename,doc_id,path,type,extension,size_Mb,hash,language,pages,sheets,table_count,dpi,noise,img_width,img_height,dpi_estimated,is_low_dpi,skew_angle,requires_ocr,image_count,has_geo_headers,ocr_risk
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin.pdf,Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,data\raw\pdf_text,pdf_text,pdf,2.502,44804b5cbf5cb67fc901045c7fad28c4,en,6.0,,0,30.0,56.69815945253916,400.0,60.0,30.0,True,,False,12,True,low
Assessment of Tight-Oil and Tight-Gas Resources.pdf,Assessment of Tight-Oil and Tight-Gas Resources,data\raw\pdf_text,pdf_text,pdf,0.339,0a0cf00eb442d8d268f267c7a05ef8de,en,2.0,,0,65.0,18.631049009320268,506.0,591.0,65.0,True,,False,2,True,low
Assessment of Undiscovered Conventional Oil and Gas Resources.pdf,Assessment of Undiscovered Conventional Oil and Gas Resources,data\raw\pdf_text,pdf_text,pdf,2.419,74a9559b763871e014786a676a5264e2,en,2.0,,0,144.0,27.251731438964843,2042.0,257.0,144.0,True,,False,4,True,low
Assessment of Undiscovered Oil and Gas  in the Haynesville Formation.pdf,Assessment of Undiscovered Oil and Gas  in the Haynesville Formation,data\raw\pdf_text,pdf_text,pdf,2.151,e5e0f2e2d64bbe52f0eb18801c25c6d3,en,4.0,,0,,15.853307848539231,682.0,408.0,,False,,False,1,True,low
Assessment of Undiscovered Oil and Gas in the Central North Slope of Alaska.pdf,Assessment of Undiscovered Oil and Gas in the Central North Slope of Alaska,data\raw\pdf_text,pdf_text,pdf,1.265,896c9ac6d3fbd83f8c75e2a2a81d6e83,en,4.0,,0,82.0,21.283307875527235,760.0,643.0,82.0,True,,False,1,True,low
Assessment of Undiscovered Oil and Gas of the Gulf Coast.pdf,Assessment of Undiscovered Oil and Gas of the Gulf Coast,data\raw\pdf_text,pdf_text,pdf,1.551,60134ea9d496ab4cd6be81a723295ed7,en,4.0,,0,103.0,36.44756594111918,991.0,766.0,103.0,True,,False,1,True,low
Assessment of Undiscovered Shale- Gas Resources.pdf,Assessment of Undiscovered Shale- Gas Resources,data\raw\pdf_text,pdf_text,pdf,0.861,4f911b7c86467f539204d7b886fe2ad1,en,4.0,,0,30.0,10.960019898859139,256.0,253.0,30.0,True,,False,1,True,low
Assumptions to the Annual Energy Outlook 2026 Liquid Fuels Market Module.pdf,Assumptions to the Annual Energy Outlook 2026 Liquid Fuels Market Module,data\raw\pdf_text,pdf_text,pdf,1.116,5f9c022bc4863d38ec69133b295cb35a,en,27.0,,0,145.0,59.68381782515361,1918.0,584.0,145.0,True,,False,4,True,low
Characterization of Three Forks Formation Reservoir Lithofacies.pdf,Characterization of Three Forks Formation Reservoir Lithofacies,data\raw\pdf_text,pdf_text,pdf,1.21,9f6c17e8f8738bf9e1f8715046cad33b,en,9.0,,0,19.0,102.6665669063272,250.0,52.0,19.0,True,,False,6,True,low
Development of the taranaki basin for deepwater exploration.pdf,Development of the taranaki basin for deepwater exploration,data\raw\pdf_text,pdf_text,pdf,3.138,ff3c6ff8d75c96d8f419ddcdf68463ff,en,10.0,,0,,36.36254163575688,1202.0,566.0,,False,,False,17,True,low
