doc_id,type,extension,pages,sheets,language,requires_ocr,dpi,noise,has_geo_headers
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,pdf,6.0,,en,False,30.0,56.69815945253916,True
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,pdf,2.0,,en,False,65.0,18.631049009320268,True
Assessment of Undiscovered Conventional Oil and Gas Resources,pdf_text,pdf,2.0,,en,False,144.0,27.251731438964843,True
Assessment of Undiscovered Oil and Gas  in the Haynesville Formation,pdf_text,pdf,4.0,,en,False,,15.853307848539231,True
Assessment of Undiscovered Oil and Gas in the Central North Slope of Alaska,pdf_text,pdf,4.0,,en,False,82.0,21.283307875527235,True
Assessment of Undiscovered Oil and Gas of the Gulf Coast,pdf_text,pdf,4.0,,en,False,103.0,36.44756594111918,True
Assessment of Undiscovered Shale- Gas Resources,pdf_text,pdf,4.0,,en,False,30.0,10.960019898859139,True
Assumptions to the Annual Energy Outlook 2026 Liquid Fuels Market Module,pdf_text,pdf,27.0,,en,False,145.0,59.68381782515361,True
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,pdf,9.0,,en,False,19.0,102.6665669063272,True
Development of the taranaki basin for deepwater exploration,pdf_text,pdf,10.0,,en,False,,36.36254163575688,True
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,pdf,4.0,,en,False,96.0,,True
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,pdf,5.0,,en,False,94.0,,True
NPD FactPages  Well 72208‑1,pdf_text,pdf,11.0,,en,False,48.0,96.81342141720731,True
NPD FactPages Well 65077‑12,pdf_text,pdf,18.0,,en,False,46.0,96.81342141720731,True
NPD Resource Accounts for the Norwegian continental shelf 2021,pdf_text,pdf,21.0,,en,False,40.0,58.18592986025124,True
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,pdf,5.0,,en,False,,38.88583303891157,True
Seismic attributes in reservoir characterization an overview,pdf_text,pdf,13.0,,en,False,19.0,20.4663010585114,True
"Seismic facies analysis Past, present and future",pdf_text,pdf,65.0,,en,False,123.0,44.260454936304086,True
Spectral decomposition of time- vs. depth-migrated data,pdf_text,pdf,5.0,,en,False,,36.336967670881016,True
Spectral Decomposition Reveals Geological Hidden Features in the Amplitude Maps,pdf_text,pdf,4.0,,en,False,,59.030772227882224,True
The impact of reservoir scale on amplitude variation with offset,pdf_text,pdf,10.0,,en,False,152.0,64.184275797412,True
Use of spectral decomposition technique for delineation of channels at Solar gas discovery,pdf_text,pdf,7.0,,en,False,39.0,70.96546192527055,True
Well Logging in Support for Seismic Reservoir Characterization,pdf_text,pdf,5.0,,en,False,14.0,16.142828270533723,True
Williston Basin Province Interpretation of 2-D Seismic Data,pdf_text,pdf,9.0,,en,False,54.0,28.85301977791839,True
2020_06_practical_4d_interpretation,pdf_scans,pdf,4.0,,unknown,True,82.0,37.49300168544211,False
Alaska_North_Slope_petroleum_systems,pdf_scans,pdf,1.0,,unknown,True,72.0,42.60302392640257,False
Cheatsheet_basic,pdf_scans,pdf,1.0,,unknown,True,72.0,52.66486832855586,False
Cheatsheet_geophysics,pdf_scans,pdf,1.0,,unknown,True,72.0,48.091929680670255,False
Cheatsheet_petroleum,pdf_scans,pdf,1.0,,unknown,True,72.0,52.06172122032221,False
Cheatsheet_Petrophysics,pdf_scans,pdf,1.0,,unknown,True,75.0,35.29756980965824,False
Chopra_Churning seismic attributes with principal component analysis,pdf_scans,pdf,4.0,,unknown,True,86.0,55.53624854006513,False
Cruise Report for a Seismic Investigation of Gas Hydrates,pdf_scans,pdf,21.0,,unknown,True,72.0,20.875842574488413,False
Deriving Vp velocity and density properties,pdf_scans,pdf,18.0,,unknown,True,72.0,54.555821070860375,False
Interpretation of seismic cross-hole,pdf_scans,pdf,9.0,,unknown,True,72.0,52.025803173222045,False
NPD Oligocene to Pliocene well and borehole data,pdf_scans,pdf,2.0,,unknown,True,72.0,,False
Poseidon 3D Interpretation Report_Rev,pdf_scans,pdf,43.0,,unknown,True,72.0,33.458585479164284,False
Reprocessing of Reflection Seismic Lines Rill and R102,pdf_scans,pdf,31.0,,unknown,True,72.0,26.915610452940786,False
Seismic evidence for an extensive gas-bearing layer,pdf_scans,pdf,21.0,,unknown,True,72.0,25.08790605259651,False
Seismic Reflection Profiles Along the Drill Holes,pdf_scans,pdf,14.0,,unknown,True,72.0,51.148877996154226,False
Two-Dimensional Multichannel Seismic Data,pdf_scans,pdf,25.0,,unknown,True,72.0,37.610610376394106,False
Using Machine Learning for Automated Seismic Facies Classification,pdf_scans,pdf,19.0,,unknown,True,72.0,55.45013144632772,False
2D_Simultaneous_Inversion_Bonaparte_Basin_project_report,doc_Word,docx,66.0,,en,False,149.987,107.81478657928973,True
A decade of marine seismic technology development,doc_Word,docx,4.0,,en,False,,,True
A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm,doc_Word,docx,13.0,,en,False,150.0,39.96769383161793,True
Application of seismic inversion constrained geological modeling technology,doc_Word,docx,8.0,,en,False,96.012,66.989391761265,True
Assessing Gas Hydrate Prospects on the North Slope of Alaska,doc_Word,docx,36.0,,en,False,95.9866,99.75187334226568,True
Elastic seismic inversion and reservoir characterization in the Llanos Basin,doc_Word,docx,16.0,,en,False,96.0,45.4829457549603,True
Guidelines for interpreted data,doc_Word,docx,14.0,,en,False,,,True
Implementation of seismic surveys on the Norwegian Continental Shelf,doc_Word,docx,22.0,,en,False,96.0,85.80180750981691,True
Integration of and Model-Based Seismic Inversion and Neural Network Method,doc_Word,docx,9.0,,en,False,96.012,54.69805590475937,True
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,docx,6.0,,en,False,96.012,42.473110318372186,True
Poro-Acoustic Impedance,doc_Word,docx,14.0,,en,False,96.0,42.75970084230958,True
Probabilistic inversion of seismic data,doc_Word,docx,20.0,,en,False,96.012,0.0,True
Qualitative and quantitative reservoir characterization using seismic inversion,doc_Word,docx,19.0,,en,False,96.012,60.58707419870356,True
Reservoir Characterization Based on Bayesian AVO,doc_Word,docx,22.0,,en,False,149.987,0.0,True
Reservoir Characterization Integrating Seismic Attributes,doc_Word,docx,14.0,,en,False,220.0,57.7987092195542,True
Reservoir Characterization Using Intelligent Seismic Inversion,doc_Word,docx,18.0,,en,False,96.0,55.54747708539782,True
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,docx,5.0,,en,False,96.0,35.65588570135424,True
Seismic_Imaging_and_Interpretation_Techniques_doc,doc_Word,doc,5.0,,en,False,,,True
Annual Energy  Oil and Gas Supply,tables,xlsx,,1.0,en,False,,,True
"Annual Energy  Total Energy Supply, Disposition, and Price Summary",tables,xlsx,,1.0,en,False,,,True
CP_Kronos1_Well_Seismic_Report_VSP_data,tables,xlsx,,1.0,en,False,,,True
Crude Oil and Natural Gas Exploratory and Development Wells,tables,xlsx,,2.0,en,False,,,True
DPR_data_region_month_oil_natural_gas,tables,xlsx,,8.0,en,False,,,True
GEoREST_induced_seismicity_database_20_11_2022,tables,xlsx,,1.0,en,False,,,True
Oil well operation parameters (2013),tables,xlsx,,1.0,en,False,,,True
Oil_and_Gas_Wells,tables,xlsx,,1.0,en,False,,,True
"Petroleum Segments_Exploration, Development, & Production Statistics",tables,xlsx,,1.0,en,False,,,True
Petroleum Segments_Proved Petroleum Reserves,tables,xlsx,,1.0,en,False,,,True
Pools allocated to petroleum system in the San Joaquin Basin Province,tables,xlsx,,1.0,en,False,,,True
Reservoir rock allocated to each producing zone all,tables,xlsx,,1.0,en,False,,,True
Reservoir rock allocated to each producing zone,tables,xlsx,,1.0,en,False,,,True
Seismic_Water_Bottom_Anomalies,tables,xlsx,,1.0,en,False,,,True
Tight oil production estimates by play,tables,xls,,1.0,en,False,,,True
W1 Well Logs,tables,xlsx,,2.0,en,False,,,True
Box-plots-ranges-of-source-depths,images,jpg,,,unknown,True,96.0,45.105148899937916,
