success,doc_id,filename,file_path,file_path_v2,extension,size_mb,pages,sheets,table_count,image_count,language,requires_ocr,ocr_backend,ocr_backend_f,source,time_sec,text_length,warnings
True,2020_06_practical_4d_interpretation,2020_06_practical_4d_interpretation.pdf,data\raw\pdf_scans\2020_06_practical_4d_interpretation.pdf,data\raw\pdf_scans,.pdf,3.533,4.0,,0,4,en,True,ocr,paddle,pdf_scans,13.916666269302368,4615,[]
True,A decade of marine seismic technology development,A decade of marine seismic technology development.docx,data\raw\doc_Word\A decade of marine seismic technology development.docx,data\raw\doc_Word,.docx,0.037,4.0,,0,0,en,False,native_mammoth,extract_text,doc_Word,0.6415870189666748,16262,[]
True,Alaska_North_Slope_petroleum_systems,Alaska_North_Slope_petroleum_systems.pdf,data\raw\pdf_scans\Alaska_North_Slope_petroleum_systems.pdf,data\raw\pdf_scans,.pdf,0.238,1.0,,0,1,en,True,ocr,paddle,pdf_scans,6.54215931892395,2680,[]
True,Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin.pdf,data\raw\pdf_text\Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin.pdf,data\raw\pdf_text,.pdf,2.502,6.0,,1,12,en,False,native_pymupdf,extract_text,pdf_text,0.9127564430236816,18211,[]
True,Assessment of Tight-Oil and Tight-Gas Resources,Assessment of Tight-Oil and Tight-Gas Resources.pdf,data\raw\pdf_text\Assessment of Tight-Oil and Tight-Gas Resources.pdf,data\raw\pdf_text,.pdf,0.339,2.0,,3,2,en,False,native_pymupdf,extract_text,pdf_text,1.3508667945861816,12117,[]
True,Characterization of Three Forks Formation Reservoir Lithofacies,Characterization of Three Forks Formation Reservoir Lithofacies.pdf,data\raw\pdf_text\Characterization of Three Forks Formation Reservoir Lithofacies.pdf,data\raw\pdf_text,.pdf,1.21,9.0,,6,6,en,False,native_pymupdf,extract_text,pdf_text,0.7636570930480957,22566,[]
True,Convolution_Polarity,Convolution_Polarity.jpg,data\raw\images\Convolution_Polarity.jpg,data\raw\images,.jpg,0.069,,,0,1,en,True,ocr_image,paddle,images,1.4789774417877197,222,[]
True,Example-of-a-near-seafloor-structure,Example-of-a-near-seafloor-structure.jpg,data\raw\images\Example-of-a-near-seafloor-structure.jpg,data\raw\images,.jpg,0.587,,,0,1,en,True,ocr_image,paddle,images,1.2520496845245361,278,[]
True,Geophysics,Geophysics.txt,data\raw\txt\Geophysics.txt,data\raw\txt,.txt,0.003,,,0,0,en,False,native_txt,extract_text,txt,0.0,3421,[]
True,Integration of Deterministic Seismic inversion with Machine Learning,Integration of Deterministic Seismic inversion with Machine Learning.docx,data\raw\doc_Word\Integration of Deterministic Seismic inversion with Machine Learning.docx,data\raw\doc_Word,.docx,4.638,6.0,,4,7,en,False,native_mammoth,extract_text,doc_Word,0.1607656478881836,9290,[]
True,Interpretation of incised valleys using new 3-D seismic techniques,Interpretation of incised valleys using new 3-D seismic techniques.pdf,data\raw\pdf_text\Interpretation of incised valleys using new 3-D seismic techniques.pdf,data\raw\pdf_text,.pdf,1.75,4.0,,7,11,en,False,native_pymupdf,extract_text,pdf_text,0.8771188259124756,17193,[]
True,Interpretational applications of spectral decomposition in reservoir characterization,Interpretational applications of spectral decomposition in reservoir characterization.pdf,data\raw\pdf_text\Interpretational applications of spectral decomposition in reservoir characterization.pdf,data\raw\pdf_text,.pdf,1.329,5.0,,13,15,en,False,native_pymupdf,extract_text,pdf_text,1.0921084880828857,14110,[]
True,Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary.jpg,data\raw\images\Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary.jpg,data\raw\images,.jpg,0.533,,,0,1,en,True,ocr_image,paddle,images,3.710564374923706,1318,[]
True,NPD Oligocene to Pliocene well and borehole data,NPD Oligocene to Pliocene well and borehole data.pdf,data\raw\pdf_scans\NPD Oligocene to Pliocene well and borehole data.pdf,data\raw\pdf_scans,.pdf,0.354,2.0,,0,2,en,True,ocr,paddle,pdf_scans,11.396270990371704,7465,[]
True,Oil well operation parameters (2013),Oil well operation parameters (2013).xlsx,data\raw\tables\Oil well operation parameters (2013).xlsx,data\raw\tables,.xlsx,0.016,,1.0,1,0,en,False,native_excel,extract_text,tables,0.040198564529418945,4165,[]
True,Predicting rock properties,Predicting rock properties.txt,data\raw\txt\Predicting rock properties.txt,data\raw\txt,.txt,0.004,,,0,0,en,False,native_txt,extract_text,txt,0.03240180015563965,3770,[]
True,Public Dataset for Machine Learning in Seismic Interpretation,Public Dataset for Machine Learning in Seismic Interpretation.pdf,data\raw\pdf_text\Public Dataset for Machine Learning in Seismic Interpretation.pdf,data\raw\pdf_text,.pdf,1.667,5.0,,0,5,en,False,native_pymupdf,extract_text,pdf_text,0.6391141414642334,24960,[]
True,Reservoir rock allocated to each producing zone,Reservoir rock allocated to each producing zone.xlsx,data\raw\tables\Reservoir rock allocated to each producing zone.xlsx,data\raw\tables,.xlsx,0.01,,1.0,1,0,en,False,native_excel,extract_text,tables,0.015000104904174805,1459,[]
True,Seismic attributes,Seismic attributes.txt,data\raw\txt\Seismic attributes.txt,data\raw\txt,.txt,0.007,,,0,0,en,False,native_txt,extract_text,txt,0.005541086196899414,7572,[]
True,Seismic_Imaging_and_Interpretation_Techniques,Seismic_Imaging_and_Interpretation_Techniques.docx,data\raw\doc_Word\Seismic_Imaging_and_Interpretation_Techniques.docx,data\raw\doc_Word,.docx,0.229,5.0,,0,3,en,False,native_mammoth,extract_text,doc_Word,0.056015968322753906,15899,[]
True,W1 Well Logs,W1 Well Logs.xlsx,data\raw\tables\W1 Well Logs.xlsx,data\raw\tables,.xlsx,0.013,,2.0,2,0,en,False,native_excel,extract_text,tables,0.024174213409423828,4297,[]
True,WA1,WA1.txt,data\raw\txt\WA1.txt,data\raw\txt,.txt,0.008,,,1,0,en,False,native_txt,extract_text,txt,0.0,8414,[]
