doc_id,filename,file_path,file_path_v2,extension,size_mb,pages,sheets,table_count,image_count,language,requires_ocr,ocr_backend,ocr_backend_f,source,time_sec,text_length,warnings
2D_Simultaneous_Inversion_Bonaparte_Basin_project_report,2D_Simultaneous_Inversion_Bonaparte_Basin_project_report.docx,data\raw\doc_Word\2D_Simultaneous_Inversion_Bonaparte_Basin_project_report.docx,data\raw\doc_Word,.docx,29.164,66.0,,2,154,en,False,native_mammoth,extract_text,doc_Word,2.7450788021087646,57724,[]
A decade of marine seismic technology development,A decade of marine seismic technology development.docx,data\raw\doc_Word\A decade of marine seismic technology development.docx,data\raw\doc_Word,.docx,0.037,4.0,,0,0,en,False,native_mammoth,extract_text,doc_Word,0.7330825328826904,16262,[]
A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm,A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm.docx,data\raw\doc_Word\A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm.docx,data\raw\doc_Word,.docx,0.363,13.0,,1,16,en,False,native_mammoth,extract_text,doc_Word,0.4907543659210205,45240,[]
Application of seismic inversion constrained geological modeling technology,Application of seismic inversion constrained geological modeling technology.docx,data\raw\doc_Word\Application of seismic inversion constrained geological modeling technology.docx,data\raw\doc_Word,.docx,5.557,8.0,,0,7,en,False,native_mammoth,extract_text,doc_Word,0.1091299057006836,17073,[]
Assessing Gas Hydrate Prospects on the North Slope of Alaska,Assessing Gas Hydrate Prospects on the North Slope of Alaska.docx,data\raw\doc_Word\Assessing Gas Hydrate Prospects on the North Slope of Alaska.docx,data\raw\doc_Word,.docx,5.621,36.0,,2,91,en,False,native_mammoth,extract_text,doc_Word,3.1799428462982178,101529,[]
Elastic seismic inversion and reservoir characterization in the Llanos Basin,Elastic seismic inversion and reservoir characterization in the Llanos Basin.docx,data\raw\doc_Word\Elastic seismic inversion and reservoir characterization in the Llanos Basin.docx,data\raw\doc_Word,.docx,4.64,16.0,,0,36,en,False,native_mammoth,extract_text,doc_Word,1.0171546936035156,27173,[]
Guidelines for interpreted data,Guidelines for interpreted data.docx,data\raw\doc_Word\Guidelines for interpreted data.docx,data\raw\doc_Word,.docx,0.083,14.0,,1,0,en,False,native_mammoth,extract_text,doc_Word,1.1970388889312744,21769,[]
Implementation of seismic surveys on the Norwegian Continental Shelf,Implementation of seismic surveys on the Norwegian Continental Shelf.docx,data\raw\doc_Word\Implementation of seismic surveys on the Norwegian Continental Shelf.docx,data\raw\doc_Word,.docx,0.217,22.0,,0,5,en,False,native_mammoth,extract_text,doc_Word,0.7048556804656982,56050,[]
Integration of and Model-Based Seismic Inversion and Neural Network Method,Integration of and Model-Based Seismic Inversion and Neural Network Method.docx,data\raw\doc_Word\Integration of and Model-Based Seismic Inversion and Neural Network Method.docx,data\raw\doc_Word,.docx,2.259,9.0,,2,63,en,False,native_mammoth,extract_text,doc_Word,0.164445161819458,13232,[]
Integration of Deterministic Seismic inversion with Machine Learning,Integration of Deterministic Seismic inversion with Machine Learning.docx,data\raw\doc_Word\Integration of Deterministic Seismic inversion with Machine Learning.docx,data\raw\doc_Word,.docx,4.638,6.0,,4,7,en,False,native_mammoth,extract_text,doc_Word,0.12481570243835449,9290,[]
Poro-Acoustic Impedance,Poro-Acoustic Impedance.docx,data\raw\doc_Word\Poro-Acoustic Impedance.docx,data\raw\doc_Word,.docx,2.842,14.0,,3,26,en,False,native_mammoth,extract_text,doc_Word,0.5286853313446045,28229,[]
