doc_id,document_type,extension,language,requires_ocr,total_blocks,source_text_quality
2020_06_practical_4d_interpretation,,.pdf,en,True,17,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 17}"
Alaska_North_Slope_petroleum_systems,,.pdf,en,True,5,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 5}"
Cheatsheet_basic,,.pdf,en,True,72,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 72}"
Cheatsheet_geophysics,,.pdf,en,True,70,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 70}"
Cheatsheet_petroleum,,.pdf,en,True,72,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 72}"
Cheatsheet_Petrophysics,,.pdf,en,True,156,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 156}"
Chopra_Churning seismic attributes with principal component analysis,,.pdf,en,True,23,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 23}"
Cruise Report for a Seismic Investigation of Gas Hydrates,,.pdf,en,True,570,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 570}"
Deriving Vp velocity and density properties,,.pdf,en,True,299,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 299}"
Interpretation of seismic cross-hole,,.pdf,en,True,70,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 70}"
NPD Oligocene to Pliocene well and borehole data,,.pdf,en,True,2,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 2}"
Poseidon 3D Interpretation Report_Rev,,.pdf,en,True,532,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 532}"
Reprocessing of Reflection Seismic Lines Rill and R102,,.pdf,en,True,183,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 183}"
Seismic evidence for an extensive gas-bearing layer,,.pdf,en,True,51,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 51}"
Seismic Reflection Profiles Along the Drill Holes,,.pdf,en,True,116,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 116}"
Two-Dimensional Multichannel Seismic Data,,.pdf,en,True,223,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 223}"
Using Machine Learning for Automated Seismic Facies Classification,,.pdf,en,True,179,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 179}"
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,,.pdf,en,False,48,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 48}"
Assessment of Tight-Oil and Tight-Gas Resources,,.pdf,en,False,29,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 29}"
Assessment of Undiscovered Conventional Oil and Gas Resources,,.pdf,en,False,17,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 17}"
Assessment of Undiscovered Oil and Gas  in the Haynesville Formation,,.pdf,en,False,33,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 33}"
Assessment of Undiscovered Oil and Gas in the Central North Slope of Alaska,,.pdf,en,False,29,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 29}"
Assessment of Undiscovered Oil and Gas of the Gulf Coast,,.pdf,en,False,31,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 31}"
Assessment of Undiscovered Shale- Gas Resources,,.pdf,en,False,43,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 43}"
Assumptions to the Annual Energy Outlook 2026 Liquid Fuels Market Module,,.pdf,en,False,97,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 97}"
Characterization of Three Forks Formation Reservoir Lithofacies,,.pdf,en,False,55,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 55}"
Development of the taranaki basin for deepwater exploration,,.pdf,en,False,49,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 49}"
Interpretation of incised valleys using new 3-D seismic techniques,,.pdf,en,False,27,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 27}"
Interpretational applications of spectral decomposition in reservoir characterization,,.pdf,en,False,22,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 22}"
NPD FactPages  Well 72208‑1,,.pdf,en,False,19,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 19}"
NPD FactPages Well 65077‑12,,.pdf,en,False,21,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 21}"
NPD Resource Accounts for the Norwegian continental shelf 2021,,.pdf,en,False,80,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 80}"
Public Dataset for Machine Learning in Seismic Interpretation,,.pdf,en,False,63,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 63}"
Seismic attributes in reservoir characterization an overview,,.pdf,en,False,39,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 39}"
"Seismic facies analysis Past, present and future",,.pdf,en,False,159,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 159}"
Spectral decomposition of time- vs. depth-migrated data,,.pdf,en,False,29,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 29}"
Spectral Decomposition Reveals Geological Hidden Features in the Amplitude Maps,,.pdf,en,False,31,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 31}"
The impact of reservoir scale on amplitude variation with offset,,.pdf,en,False,59,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 59}"
Use of spectral decomposition technique for delineation of channels at Solar gas discovery,,.pdf,en,False,39,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 39}"
Well Logging in Support for Seismic Reservoir Characterization,,.pdf,en,False,14,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 14}"
Williston Basin Province Interpretation of 2-D Seismic Data,,.pdf,en,False,25,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 25}"
Basic elements of a reservoir characterization study,,.txt,en,False,71,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 71}"
Geophysics,,.txt,en,False,14,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 14}"
Geostatistical reservoir modeling,,.txt,en,False,45,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 45}"
Geostatistics,,.txt,en,False,27,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 27}"
Predicting rock properties,,.txt,en,False,17,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 17}"
Reservoir geophysics overview,,.txt,en,False,43,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 43}"
Reservoir simulation applications,,.txt,en,False,38,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 38}"
Seismic attributes for reservoir studies,,.txt,en,False,57,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 57}"
Seismic attributes,,.txt,en,False,19,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 19}"
Seismic imaging and inversion,,.txt,en,False,32,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 32}"
Seismic interpretation,,.txt,en,False,72,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 72}"
Seismic time-lapse reservoir monitoring,,.txt,en,False,24,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 24}"
WA1,,.txt,en,False,61,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 61}"
Seismic_Imaging_and_Interpretation_Techniques_doc,,.doc,en,False,28,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 28}"
2D_Simultaneous_Inversion_Bonaparte_Basin_project_report,,.docx,en,False,494,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 494}"
A decade of marine seismic technology development,,.docx,en,False,32,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 32}"
A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm,,.docx,en,False,268,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 268}"
Application of seismic inversion constrained geological modeling technology,,.docx,en,False,49,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 49}"
Assessing Gas Hydrate Prospects on the North Slope of Alaska,,.docx,en,False,1312,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1312}"
Elastic seismic inversion and reservoir characterization in the Llanos Basin,,.docx,en,False,112,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 112}"
Guidelines for interpreted data,,.docx,en,False,128,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 128}"
Implementation of seismic surveys on the Norwegian Continental Shelf,,.docx,en,False,310,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 310}"
Integration of and Model-Based Seismic Inversion and Neural Network Method,,.docx,en,False,78,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 78}"
Integration of Deterministic Seismic inversion with Machine Learning,,.docx,en,False,38,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 38}"
Poro-Acoustic Impedance,,.docx,en,False,143,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 143}"
Probabilistic inversion of seismic data,,.docx,en,False,285,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 285}"
Qualitative and quantitative reservoir characterization using seismic inversion,,.docx,en,False,291,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 291}"
Reservoir Characterization Based on Bayesian AVO,,.docx,en,False,417,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 417}"
Reservoir Characterization Integrating Seismic Attributes,,.docx,en,False,94,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 94}"
Reservoir Characterization Using Intelligent Seismic Inversion,,.docx,en,False,572,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 572}"
Seismic_Imaging_and_Interpretation_Techniques,,.docx,en,False,28,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 28}"
Box-plots-ranges-of-source-depths,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Convolution_Polarity,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
defs_ref_data,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Example-of-a-near-seafloor-structure,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Example-of-a-regional-seismic-line-from-the-eastern-Gulf-of-Mexico,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Facies-of-deepwater-depositional-systems-Shoup,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Integrated stratigraphic column of the Yingshan area,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Integrated workflow for high-resolution 3D seismic processing and quantitative interpretation,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
NW-SE-time-migrated-seismic-line-showing-extensional-basins-developed-atop-the-eastern,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Postack - Seismic inversion (post-stacking vs pre-stacking),,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Prestack - Seismic inversion (post-stacking vs pre-stacking),,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Regional-seismic-profile-showing-rift-structure-and-prerift-synrift-and-postrift,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Regional-seismic-sections-across-the-northern-North-Sea-rift-from-north-to-south-See,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Representative-E-W-seismic-line-through-the-salt-minibasins-and-salt-diapirs,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
SE-NW-seismic-section,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
SEG_EURO_Polarity,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Seismic inversion (post-stacking vs pre-stacking),,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Seismic-Cross-Section-over-the-Mid-North-Sea-High-from-the-Anglo-Dutch-Basin,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Series-of-seismic-reflection-profiles-showing-the-differences-in-rift-geometries-and-rift,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
The-poststack-inversion-workflow-was-used-in-this-study-in-which-three-key-components,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
vertical-and-horizontal-stratigraphic-compartmentalization-and-baffling-by-reservoi,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Workflow-for-seismic-interpretation,,.jpg,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Geophysics_cheatsheet,,.png,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
seismic polarity,,.png,en,True,1,"{'ocr_used': True, 'ocr_confidence': None, 'num_blocks': 1}"
Annual Energy  Oil and Gas Supply,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
"Annual Energy  Total Energy Supply, Disposition, and Price Summary",,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
CP_Kronos1_Well_Seismic_Report_VSP_data,,.xlsx,unknown,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Crude Oil and Natural Gas Exploratory and Development Wells,,.xlsx,en,False,2,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 2}"
DPR_data_region_month_oil_natural_gas,,.xlsx,en,False,8,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 8}"
GEoREST_induced_seismicity_database_20_11_2022,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Oil well operation parameters (2013),,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Oil_and_Gas_Wells,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
"Petroleum Segments_Exploration, Development, & Production Statistics",,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Petroleum Segments_Proved Petroleum Reserves,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Pools allocated to petroleum system in the San Joaquin Basin Province,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Reservoir rock allocated to each producing zone all,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Reservoir rock allocated to each producing zone,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
Seismic_Water_Bottom_Anomalies,,.xlsx,en,False,1,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 1}"
W1 Well Logs,,.xlsx,en,False,2,"{'ocr_used': False, 'ocr_confidence': None, 'num_blocks': 2}"
