doc_id,extension,true_label,model_predicted_label,classification_confidence,model_confidence,routing_warning
2020_06_practical_4d_interpretation,.pdf,seismic_geology_study,seismic_geology_study,0.665007965852488,0.665007965852488,False
Alaska_North_Slope_petroleum_systems,.pdf,scientific_paper,scientific_paper,0.6216247059008865,0.6216247059008865,False
Cheatsheet_basic,.pdf,seismic_geology_study,seismic_geology_study,0.6158641701916491,0.6158641701916491,False
Cheatsheet_geophysics,.pdf,seismic_geology_study,seismic_geology_study,0.6313935033204794,0.6313935033204794,False
Cheatsheet_petroleum,.pdf,seismic_geology_study,seismic_geology_study,0.6389528650595437,0.6389528650595437,False
Cheatsheet_Petrophysics,.pdf,seismic_geology_study,seismic_geology_study,0.5989436767036662,0.5989436767036662,False
Chopra_Churning seismic attributes with principal component analysis,.pdf,scientific_paper,scientific_paper,0.6123211293181923,0.6123211293181923,False
Cruise Report for a Seismic Investigation of Gas Hydrates,.pdf,technical_report,technical_report,0.6528441308465249,0.6528441308465249,False
Deriving Vp velocity and density properties,.pdf,scientific_paper,scientific_paper,0.5791387900911605,0.5791387900911605,False
Interpretation of seismic cross-hole,.pdf,seismic_geology_study,seismic_geology_study,0.5809080349139744,0.5809080349139744,False
NPD Oligocene to Pliocene well and borehole data,.pdf,technical_report,technical_report,0.6162776269218263,0.6162776269218263,False
Poseidon 3D Interpretation Report_Rev,.pdf,technical_report,technical_report,0.5890859411729165,0.5890859411729165,False
Reprocessing of Reflection Seismic Lines Rill and R102,.pdf,technical_report,technical_report,0.6103040292880222,0.6103040292880222,False
Seismic evidence for an extensive gas-bearing layer,.pdf,technical_report,technical_report,0.6064112224516097,0.6064112224516097,False
Seismic Reflection Profiles Along the Drill Holes,.pdf,technical_report,technical_report,0.638724757895382,0.638724757895382,False
Two-Dimensional Multichannel Seismic Data,.pdf,technical_report,technical_report,0.6276259312651277,0.6276259312651277,False
Using Machine Learning for Automated Seismic Facies Classification,.pdf,scientific_paper,scientific_paper,0.6141649758979337,0.6141649758979337,False
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,.pdf,scientific_paper,scientific_paper,0.6462423605083859,0.6462423605083859,False
Assessment of Tight-Oil and Tight-Gas Resources,.pdf,scientific_paper,scientific_paper,0.6231465124485562,0.6231465124485562,False
Assessment of Undiscovered Conventional Oil and Gas Resources,.pdf,scientific_paper,scientific_paper,0.48916899037848555,0.48916899037848555,low_confidence_classification
Assessment of Undiscovered Oil and Gas  in the Haynesville Formation,.pdf,scientific_paper,scientific_paper,0.5325227349429327,0.5325227349429327,low_confidence_classification
Assessment of Undiscovered Oil and Gas in the Central North Slope of Alaska,.pdf,scientific_paper,scientific_paper,0.6516979144761108,0.6516979144761108,False
